Articles,Rouge Raw,Rouge Fine Tune,Word2Vec Raw,Word2Vec Fine Tune
astro-ph9710065,0.42553191007695795,0.3557692267904031,0.8159547,0.8106716
1702.04923,0.2641509385198371,0.43356642858623895,0.82447845,0.8380408
astro-ph0410068,0.31034482262336505,0.571428566442921,0.830551,0.65946096
astro-ph0509143,0.271186435704938,0.43386242894991744,0.7734377,0.82711893
1101.1128,0.24043715348801112,0.3611111067139275,0.82811445,0.59725523
astro-ph0002059,0.3222222172969136,0.3770491754760146,0.74354404,0.78492314
1312.3483,0.33962263652055896,0.44642856642897005,0.8462466,0.89744323
hep-ph0511214,0.23728813069699808,0.2207792162649689,0.6202498,0.5918174
cond-mat0111237,0.2675159187147552,0.34554973372988684,0.7283437,0.6491176
astro-ph0108385,0.23943661488593543,0.34615384122041426,0.780068,0.58586097
0811.1596,0.3278688476024964,0.4687499950656467,0.8461959,0.82922864
astro-ph9704131,0.1976744136722554,0.37554584665891194,0.60432386,0.87983346
0912.4192,0.24999999539550793,0.23357663954179764,0.66814953,0.7478299
astro-ph0003076,0.3219512146750744,0.42608695153534976,0.7519851,0.8066997
1309.5014,0.2795698877529195,0.391304342826087,0.730217,0.79231477
1601.01316,0.24999999501155704,0.41841003687960643,0.76656836,0.8875203
1508.02323,0.2732919204891788,0.33128833857352563,0.66985595,0.71908337
1307.3897,0.2840909041432077,0.45962732440260795,0.5733696,0.73194486
hep-ex0102010,0.2113821088479081,0.20270269959299672,0.6815677,0.8822243
cond-mat0701390,0.3096774148145682,0.471428566689796,0.62389874,0.73946756
1105.0928,0.27184465524130463,0.4176706777735843,0.7735052,0.9016814
astro-ph9908094,0.20487804380059502,0.44444443949545964,0.79442304,0.83623165
1310.3173,0.24615384126443138,0.44897958693877554,0.664157,0.711989
1505.01423,0.2844036649103612,0.42574256966964025,0.70747435,0.8644811
astro-ph0402373,0.2077922028057009,0.3253968212814941,0.6734981,0.7967045
1701.02895,0.3823529362640571,0.5373134279071062,0.7386001,0.5281935
hep-lat0406001,0.2620689607457789,0.30379746374218874,0.60218483,0.5860346
nlin0407053,0.26732672785021083,0.4146341413444379,0.8729306,0.8753618
hep-ph0210030,0.28915662154158805,0.42857142357227196,0.68216527,0.802043
0807.0983,0.2840909043491736,0.4352331556927703,0.7940008,-0.012732682
1605.08362,0.2690058429821142,0.3956043906913416,0.6452779,0.7896908
hep-ph0501138,0.22727272317263547,0.31249999582519533,0.710816,0.7575551
nucl-ex9610003,0.21138210937669386,0.31292516604562914,0.743718,0.73647964
1408.0290,0.31914893133374833,0.4115226287821979,0.7751163,0.79795474
cs9905011,0.28436018496439885,0.38655461693912857,0.760494,0.8039065
nlin0407015,0.2764227597303193,0.5208333284114585,0.72137123,0.79449576
cond-mat0612190,0.23529411274671289,0.34682080432222934,0.8340321,0.87816644
0909.2412,0.35398229642101964,0.580645156457394,0.7107362,0.8780494
1606.04008,0.2896551675186683,0.37349397090361447,0.7726067,0.76156145
1312.5398,0.36871507880028714,0.3448275812075572,0.7349702,0.71875066
1306.5962,0.21495326623940966,0.26785713797233746,0.8675163,0.78633744
1412.3650,0.2877697791729207,0.26548672142180285,0.7388807,0.74994373
1502.07984,0.40816326032486466,0.5255474402557408,0.78976655,0.76702356
1105.3151,0.2576687066611465,0.3564356388015881,0.8012346,0.8614747
gr-qc0101030,0.23456789645480883,0.3350785290348401,0.36167464,0.47280818
0905.2137,0.17616579813149358,0.18181817747933895,0.69441116,0.7160382
0906.2365,0.3291139192557283,0.35028248129081685,0.8190238,0.84289175
astro-ph0611652,0.17647058326020776,0.2805429815810488,0.6437093,0.5466151
physics0606034,0.16574585138793094,0.26130652766445295,0.57931775,0.79588443
cs9907030,0.42553191027614307,0.29955946788177534,0.66441506,0.6889415
